iter	Passed	Remaining
457	823	974
458	824	971
459	825	969
460	827	967
461	828	964
462	829	962
463	831	960
464	833	958
465	834	956
466	835	953
467	837	951
468	838	949
469	839	946
470	841	944
471	842	942
472	843	940
473	845	937
474	846	935
475	848	933
476	849	931
477	850	928
478	851	926
479	853	924
480	854	922
481	855	919
482	857	917
483	858	915
484	860	913
485	862	911
486	863	909
487	864	907
488	866	905
489	867	903
490	869	901
491	870	898
492	871	896
493	873	894
494	874	892
495	876	890
496	877	888
497	878	885
498	880	883
499	881	881
500	882	879
501	884	877
502	885	875
503	887	873
504	889	871
505	890	869
506	891	867
507	893	865
508	895	863
509	896	861
510	897	859
511	899	857
512	900	855
513	902	853
514	903	850
515	904	848
516	906	846
517	907	844
518	909	842
519	910	840
520	912	838
521	913	836
522	915	835
523	917	833
524	919	831
525	920	829
526	922	827
527	923	825
528	925	823
529	926	821
530	927	819
531	929	817
532	931	816
533	933	814
534	934	812
535	936	810
536	938	808
537	939	807
538	941	805
539	942	803
540	944	801
541	946	799
542	947	797
543	949	795
544	950	793
545	952	791
546	953	789
547	955	787
548	956	786
549	958	784
550	960	782
551	962	780
552	963	779
553	965	777
554	967	775
555	968	773
556	970	771
557	971	769
558	973	768
559	975	766
560	976	764
561	978	762
562	979	760
563	981	758
564	983	756
565	984	755
566	986	753
567	988	751
568	989	749
569	991	747
570	993	746
571	995	744
572	996	742
573	998	741
574	1000	739
575	1002	737
576	1003	735
577	1005	734
578	1007	732
579	1009	730
580	1010	728
581	1012	726
582	1013	725
583	1015	723
584	1017	721
585	1019	719
586	1020	718
587	1022	716
588	1024	714
589	1025	712
590	1027	711
591	1029	709
592	1030	707
593	1032	705
594	1034	704
595	1036	702
596	1038	700
597	1039	699
598	1041	697
599	1043	695
600	1044	693
601	1046	691
602	1048	690
603	1050	688
604	1052	686
605	1053	685
606	1055	683
607	1056	681
608	1059	680
609	1060	678
610	1062	676
611	1064	674
612	1066	673
613	1067	671
614	1069	669
615	1071	667
616	1073	666
617	1074	664
618	1076	662
619	1078	661
620	1080	659
621	1082	657
622	1084	656
623	1085	654
624	1087	652
625	1089	650
626	1090	648
627	1092	647
628	1094	645
629	1096	643
630	1097	641
631	1099	640
632	1101	638
633	1102	636
634	1104	634
635	1105	632
636	1107	631
637	1109	629
638	1110	627
639	1112	625
640	1114	624
641	1116	622
642	1117	620
643	1119	618
644	1120	616
645	1122	615
646	1124	613
647	1126	611
648	1127	610
649	1129	608
650	1131	606
651	1132	604
652	1134	602
653	1136	601
654	1137	599
655	1139	597
656	1141	595
657	1143	594
658	1144	592
659	1146	590
660	1147	588
661	1149	586
662	1151	585
663	1153	583
664	1155	581
665	1156	580
666	1158	578
667	1160	576
668	1161	574
669	1163	573
670	1165	571
671	1167	569
672	1169	568
673	1170	566
674	1172	564
675	1174	562
676	1175	560
677	1177	559
678	1179	557
679	1180	555
680	1182	554
681	1184	552
682	1186	550
683	1187	548
684	1189	546
685	1190	544
686	1192	543
687	1193	541
688	1195	539
689	1197	537
690	1198	536
691	1200	534
692	1202	532
693	1203	530
694	1205	528
695	1206	527
696	1208	525
697	1209	523
698	1211	521
699	1213	520
700	1215	518
701	1216	516
702	1218	514
703	1219	512
704	1221	511
705	1222	509
706	1223	507
707	1225	505
708	1227	503
709	1228	501
710	1230	500
711	1232	498
712	1234	496
713	1235	494
714	1237	493
715	1238	491
716	1240	489
717	1242	487
718	1243	486
719	1245	484
720	1247	482
721	1248	480
722	1250	479
723	1252	477
724	1254	475
725	1255	473
726	1257	472
727	1259	470
728	1261	468
729	1262	467
730	1264	465
731	1266	463
732	1267	461
733	1269	459
734	1270	458
735	1272	456
736	1274	454
737	1276	453
738	1277	451
739	1279	449
740	1281	447
741	1282	446
742	1284	444
743	1286	442
744	1288	440
745	1290	439
746	1291	437
747	1292	435
748	1294	433
749	1296	432
750	1297	430
751	1299	428
752	1300	426
753	1302	425
754	1304	423
755	1305	421
756	1307	419
757	1309	417
758	1310	416
759	1312	414
760	1314	412
761	1315	411
762	1317	409
763	1319	407
764	1321	405
765	1322	404
766	1324	402
767	1325	400
768	1327	398
769	1328	396
770	1330	395
771	1332	393
772	1334	391
773	1335	390
774	1337	388
775	1338	386
776	1340	384
777	1341	382
778	1342	380
779	1344	379
780	1345	377
781	1347	375
782	1349	373
783	1350	372
784	1351	370
785	1353	368
786	1354	366
787	1356	364
788	1357	363
789	1358	361
790	1360	359
791	1362	357
792	1363	355
793	1365	354
794	1366	352
795	1367	350
796	1369	348
797	1370	346
798	1372	345
799	1373	343
800	1374	341
801	1376	339
802	1377	338
803	1379	336
804	1380	334
805	1382	332
806	1383	330
807	1384	329
808	1386	327
809	1387	325
810	1388	323
811	1390	321
812	1391	320
813	1393	318
814	1394	316
815	1396	314
816	1397	312
817	1398	311
818	1399	309
819	1401	307
820	1402	305
821	1403	304
822	1405	302
823	1406	300
824	1408	298
825	1409	296
826	1410	295
827	1411	293
828	1413	291
829	1414	289
830	1415	287
831	1417	286
832	1418	284
833	1420	282
834	1421	280
835	1423	279
836	1424	277
837	1425	275
838	1427	273
839	1428	272
840	1429	270
841	1431	268
842	1432	266
843	1434	265
844	1435	263
845	1437	261
846	1438	259
847	1439	258
848	1441	256
849	1442	254
850	1444	252
851	1445	251
852	1447	249
853	1448	247
854	1449	245
855	1451	244
856	1453	242
857	1454	240
858	1456	239
859	1457	237
860	1458	235
861	1460	233
862	1462	232
863	1463	230
864	1465	228
865	1467	227
866	1468	225
867	1470	223
868	1471	221
869	1473	220
870	1474	218
871	1476	216
872	1477	215
873	1479	213
874	1480	211
875	1482	209
876	1484	208
877	1485	206
878	1487	204
879	1489	203
880	1491	201
881	1492	199
882	1494	198
883	1496	196
884	1498	194
885	1500	193
886	1501	191
887	1503	189
888	1504	187
889	1506	186
890	1508	184
891	1509	182
892	1511	181
893	1513	179
894	1514	177
895	1516	176
896	1518	174
897	1519	172
898	1521	170
899	1523	169
900	1524	167
901	1526	165
902	1528	164
903	1530	162
904	1531	160
905	1533	159
906	1535	157
907	1536	155
908	1538	154
909	1540	152
910	1542	150
911	1543	148
912	1545	147
913	1547	145
914	1548	143
915	1550	142
916	1551	140
917	1553	138
918	1555	137
919	1556	135
920	1558	133
921	1560	131
922	1561	130
923	1563	128
924	1564	126
925	1566	125
926	1567	123
927	1569	121
928	1571	120
929	1572	118
930	1574	116
931	1576	114
932	1577	113
933	1579	111
934	1580	109
935	1582	108
936	1584	106
937	1586	104
938	1588	103
939	1589	101
940	1591	99
941	1593	98
942	1594	96
943	1596	94
944	1598	93
945	1600	91
946	1601	89
947	1603	87
948	1604	86
949	1606	84
950	1607	82
951	1609	81
952	1610	79
953	1612	77
954	1614	76
955	1615	74
956	1617	72
957	1619	70
958	1620	69
959	1622	67
960	1624	65
961	1625	64
962	1627	62
963	1629	60
964	1630	59
965	1632	57
966	1634	55
967	1635	54
968	1637	52
969	1639	50
970	1640	49
971	1642	47
972	1644	45
973	1645	43
974	1647	42
975	1649	40
976	1651	38
977	1652	37
978	1654	35
979	1655	33
980	1657	32
981	1658	30
982	1660	28
983	1662	27
984	1663	25
985	1665	23
986	1666	21
987	1668	20
988	1670	18
989	1671	16
990	1673	15
991	1674	13
992	1676	11
993	1678	10
994	1679	8
995	1681	6
996	1682	5
997	1683	3
998	1685	1
999	1686	0
